Place,Address,IsClosed,Fee,MinFee,MaxFee,Start,End,Latitude,Longitude,Historical,Nature,Religious,Art,Activities,Entertainment,Culture,Image
Buwakan ni Alejandra,"Sitio Bunga Barangay, Balamban, 6041 Cebu",0,,75,100,7:00:00,17:30:00,10.43054061,123.7761233,0,1,0,0,0,0,0,"/location_images/Buwakan_ni_Alejandra/Buwakan_ni_Alejandra.jpg,/location_images/Buwakan_ni_Alejandra/Buwakan_ni_Alejandra_GESQ9gc.jpg"
Tumalog Falls,"Brgy Natalio Bacalso Avenue, Oslob, Cebu",0,,20,50,7:00:00,16:00:00,9.48600603,123.3696317,0,1,0,0,1,0,0,"/location_images/Tumalog_Falls/Tumalog_Falls.jpg,/location_images/Tumalog_Falls/Tumalog_Falls_wpkmGjX.jpg"
Bluewater Resort Sumilon Island,"Sumilon Island, Cebu",0,,1000,2500,8:00:00,16:00:00,9.433597837,123.3906558,0,1,0,0,1,1,0,"/location_images/Bluewater_Resort_Sumilon_Island/Bluewater_Resort_Sumilon_Island.jpg,/location_images/Bluewater_Resort_Sumilon_Island/Bluewater_Resort_Sumilon_Island_zlOP4As.jpg"
Sumilon Island Sandbar,"Sumilon Island, Cebu",0,50,,,8:00:00,16:00:00,9.43406608,123.3867783,0,1,0,0,1,1,0,"/location_images/Sumilon_Island_Sandbar/Sumilon_Island_Sandbar.jpg,/location_images/Sumilon_Island_Sandbar/Sumilon_Island_Sandbar_Vw5yZJh.jpg"
Canyoneering Cebu Badian Adventure,"Badian, Cebu Alegria, Cebu City, 6000 Cebu",0,1500,,,6:30:00,14:00:00,9.812390572,123.3683351,0,0,0,0,1,1,0,"/location_images/Canyoneering_Cebu_Badian_Adventure/Canyoneering_Cebu_Badian_Adventure.jpg,/location_images/Canyoneering_Cebu_Badian_Adventure/Canyoneering_Cebu_Badian_Adventure_xlTpbBW.jpg"
Oslob Whale Shark Watching,"Natalio Bacalso Avenue, Oslob, 6023 Cebu",0,,500,1000,6:00:00,11:00:00,9.463361151,123.379734,0,1,0,0,1,0,0,"/location_images/Oslob_Whale_Shark_Watching/Oslob_Whale_Shark_Watching.jpg,/location_images/Oslob_Whale_Shark_Watching/Oslob_Whale_Shark_Watching_lUrlBTs.jpg"
La Vie in the Sky,"Tops Road, Cebu City, 6000 Cebu",0,100,,,7:00:00,2:00:00,10.37268207,123.8707757,0,1,0,0,0,1,0,"/location_images/La_Vie_in_the_Sky/La_Vie_in_the_Sky.jpg,/location_images/La_Vie_in_the_Sky/La_Vie_in_the_Sky_aEaRJvx.jpg"
Tops Lookout,"Tops Road, Cebu City, 6000 Cebu",1,0,,,0:00:00,23:59:59,10.37061619,123.870872,0,1,0,0,0,1,0,"/location_images/Tops_Lookout/Tops_Lookout.jpg,/location_images/Tops_Lookout/Tops_Lookout_tdrmh9A.jpg,/location_images/Tops_Lookout/Tops_Lookout_YZbfopo.jpg"
Simala Shrine (Monastery of the Holy Eucharist),"Sibonga, Cebu",0,0,,,8:00:00,20:00:00,9.979448786,123.5996654,1,0,1,0,0,0,1,"/location_images/Simala_Shrine_(Monastery_of_the_Holy_Eucharist)/Simala_Shrine_Monastery__teE6zpM.jpg,/location_images/Simala_Shrine_(Monastery_of_the_Holy_Eucharist)/Simala_Shrine_Monastery__W5pnSxM.jpg,/location_images/Simala_Shrine_(Monastery_of_the_Holy_Eucharist)/Simala_Shrine_Monastery__ZMiTLeJ.jpg"
Alegre Guitar Factory,"Pajac-Maribago Rd, Lapu-Lapu City, Cebu",0,0,,,8:00:00,18:00:00,10.29407279,123.9877251,1,0,0,0,0,0,1,"/location_images/Alegre_Guitar_Factory/Alegre_Guitar_Factory.jpg,/location_images/Alegre_Guitar_Factory/Alegre_Guitar_Factory_eG54ktD.jpg"
